楼层号,评论时间,用户名称,用户性别,用户等级,用户会员等级,装扮名称,装扮编号,装扮所属up主,评论内容
5463,2021-07-10 15:52:12,电棍今天吃嘉然,保密,3,普通会员,无,000000,无,参观古战场
5462,2021-07-10 15:19:33,宇太秀,男,5,年度大会员,嘉然今天吃什么,034286,嘉然今天吃什么,红发女人是？[嘉然_暗中观察]
5461,2021-07-10 13:44:06,枝江大学高跟鞋自营店,男,5,大会员,无,000000,无,战神遗迹
5460,2021-07-10 13:23:40,嘉然今天吃屑宝,保密,6,年度大会员,嘉然今天吃什么,000415,嘉然今天吃什么,战神遗迹
5459,2021-07-10 09:55:52,JAHYSAMA,女,5,年度大会员,无,000000,无,看了好久评论，给我乐坏了
5458,2021-07-10 01:39:35,青灯古佛伴我身,男,6,年度大会员,嘉然今天吃什么,001497,嘉然今天吃什么,梦幻新诛仙
5456,2021-07-10 00:05:15,古明地觉152,女,5,年度大会员,无,000000,无,梦幻新诛仙
5455,2021-07-09 23:39:40,理塘向晚Ava,保密,4,年度大会员,嘉然今天吃什么,004965,嘉然今天吃什么,战神遗迹
5454,2021-07-09 21:27:44,xiajch,男,5,年度大会员,星座系列：水瓶座,018500,水瓶座2021,笑麻了，这反转，看乐了，V圈归根结底还是饭圈，魔怔人和ky小鬼还是不减当初，乐子人和🤡也不例外，现在想想当时看v就是个错误
5452,2021-07-09 18:54:21,flection,保密,5,年度大会员,嘉然今天吃什么,002876,嘉然今天吃什么,战神遗迹
5451,2021-07-09 18:17:04,尘世齿轮,保密,5,大会员,无,000000,无,啊笑死😂圣嘉然的原罪了属于是
5450,2021-07-09 07:05:41,向葵seher,保密,5,年度大会员,泠鸢登门喜鹊,028293,泠鸢登门喜鹊,yhm代表v圈血统捏[给心心]\n残疾人坐那收钱是吧
5449,2021-07-09 06:03:05,女干可可,男,6,年度大会员,2021拜年纪,029011,2021拜年纪,[思考]不懂就问，这不是五个人么，为啥最近只看到四个。\n \n \n \n \n \n \n \n \n \n \n\n[大哭]乐，你带我走吧
5447,2021-07-09 02:47:36,星仔不给二十块钱,保密,5,年度大会员,嘉然今天吃什么,006854,嘉然今天吃什么,捏麻麻的看了一个小时评论，真是太有意思了。
5446,2021-07-09 01:11:32,嘉心糖今晚吃嘉然,男,5,年度大会员,嘉然今天吃什么,007457,嘉然今天吃什么,战神遗迹
5445,2021-07-09 00:22:27,我的名字很正常的,保密,5,大会员,无,000000,无,v圈的黑暗降临了属于是，之前也是纯路人，不过然然晚晚实在是太可耐了，结果现在也觉得其实粉丝评论区了解过后大家都蛮可爱的，所以新来的观众不用被吓到其实大家都很友好的捏[给心心][给心心]
5444,2021-07-08 23:28:57,洗涤剂量子,男,5,普通会员,无,000000,无,我要自杀
5443,2021-07-08 21:27:59,故国小生,保密,5,大会员,良辰美景·不问天,128529,良辰美景·不问天,现在回来看评论我要被笑死了，捏麻麻的嘉人所向披靡完全同化了[笑哭]
5442,2021-07-08 19:38:31,run到海地,保密,2,普通会员,嘉然今天吃什么,038035,嘉然今天吃什么,战神遗迹
5441,2021-07-08 13:52:53,dva一分坏蛋零分,男,5,大会员,无,000000,无,谁有以前的热评截图啊
5440,2021-07-08 12:25:14,llrun-official,保密,5,普通会员,无,000000,无,●开启重复弹幕\n●1/4屏→全屏\n●底部弹幕开启\n笑嘻了🤣
5438,2021-07-08 10:16:07,刘乐今天吃什么,男,3,大会员,嘉然今天吃什么,011600,嘉然今天吃什么,快 快快 快快 快快 💃💃💃大脑在牵引💃💃💃歪 歪歪 歪歪 歪歪💃💃💃疯狂的着迷 荷尔蒙陷阱 请带我逃离💃💃💃快 快快 快快 快快 💃💃💃大脑在牵引💃💃💃歪 歪歪 歪歪 歪歪💃💃💃疯狂的着迷 荷尔蒙陷阱 请带我逃离💃💃💃
5437,2021-07-08 03:22:30,国家顶级逗狗大师,保密,4,大会员,无,000000,无,快餐多少？
5436,2021-07-07 23:30:30,圣嘉然教徒,保密,4,大会员,无,000000,无,嘉门
5435,2021-07-07 23:01:06,ismine7,保密,4,年度大会员,嘉然今天吃什么,008036,嘉然今天吃什么,[给心心]
5434,2021-07-07 22:48:49,一个魂儿_,男,5,大会员,嘉然今天吃什么,010597,嘉然今天吃什么,战神遗迹[嘉然_一米八]
5433,2021-07-07 21:41:43,港岛妹妹,男,5,年度大会员,无,000000,无,圣地巡游步骤：\n1.找到典中典评论\n2.查共同关注\n3.发现早就是嘉心糖了 绷不住了😅
5431,2021-07-07 20:06:30,普通的爱好者,保密,5,大会员,无,000000,无,*咱们v圈小，求求你放过我们吧😭*这话太有意思了🤣🤣🤣\n现在，V圈？AVA的V！\n咱们a圈小，求求各位放过a圈，点个关注吧[给心心]
5429,2021-07-07 17:55:04,清风昕雨official,保密,5,普通会员,嘉然今天吃什么,021476,嘉然今天吃什么,互联网世界真是太精彩了🤣🤣🤣
5428,2021-07-07 16:37:34,威威曲线,保密,5,大会员,无,000000,无,互联网真有意思[呲牙]
5427,2021-07-07 15:46:28,光雀Yatagarasu,保密,2,普通会员,嘉然今天吃什么,004092,嘉然今天吃什么,有没有热评截图留档啊，当初原始的热评已经被踩删看不到了，只剩下几个七级硬汉还在坚持，没意思啊，我想看以前的神天乐日满地红
5426,2021-07-07 13:49:24,艾白加油努力,保密,5,年度大会员,星座装扮巨蟹座,018729,巨蟹座2021,梦幻新诛仙
5425,2021-07-07 13:46:50,Paracetamol酱,女,5,普通会员,无,000000,无,弹幕文物还请大家保护[给心心]
5423,2021-07-07 12:13:41,雨落离殇丶,保密,6,年度大会员,嘉然今天吃什么,002424,嘉然今天吃什么,打卡
5422,2021-07-07 08:44:08,嘉然今天吃了我吧,保密,5,年度大会员,嘉然今天吃什么,001730,嘉然今天吃什么,太黑暗了[嘉然_绷不住了]
5421,2021-07-07 02:12:04,玫瑰花的夜曲,保密,5,大会员,无,000000,无,请款恕我
5420,2021-07-07 00:54:10,泺mato,男,5,年度大会员,年度大会员,,,最近才刚刚回坑看v的，谁能告诉我发生什么事了[囧]
5419,2021-07-06 20:58:44,飞翔荷兰人z,保密,5,年度大会员,嘉然今天吃什么,009051,嘉然今天吃什么,战神遗迹
5418,2021-07-06 20:45:21,不是乃琳是烧0,保密,5,年度大会员,无,000000,无,嘉门，饶恕我吧
5417,2021-07-06 20:42:41,北级星丶,男,5,年度大会员,无,000000,无,嘉门
5416,2021-07-06 18:55:40,星辰云天,男,6,年度大会员,无,000000,无,宽恕我，嘉门
5415,2021-07-06 18:26:05,晨钟醒世,保密,2,普通会员,无,000000,无,朝圣
5414,2021-07-06 16:06:12,打别人飞机,男,6,年度大会员,嘉然今天吃什么,018410,嘉然今天吃什么,朝圣者的终焉，嘉门[嘉然_安详]
5413,2021-07-06 14:09:17,提督两广兼左都御史,保密,4,大会员,2021拜年纪,135154,2021拜年纪,古战场，朝圣，此地便是我的耶路撒冷
5411,2021-07-06 11:50:40,不死红衣,男,6,年度大会员,无,000000,无,先知，请指导我
5410,2021-07-06 05:43:59,Sakura千,男,5,大会员,嘉然今天吃什么,024156,嘉然今天吃什么,太乐了，这评论区大部分都反转了
5409,2021-07-06 00:54:24,兰若听雨,男,5,年度大会员,泠鸢yousa,027014,泠鸢yousa,笑着看了半小时，才想起来天亮就要考试捏
5408,2021-07-06 00:27:43,七海今天吃铝热剂手雷,男,5,年度大会员,七海演唱会,004743,七海演唱会,捏麻麻的，不要发弹幕毁坏文物啊[嘉然_敲打]
5407,2021-07-05 23:01:37,WsNdiEee,男,6,大会员,嘉然今天吃什么,002642,嘉然今天吃什么,战神遗迹
5406,2021-07-05 21:10:05,---TOTORO---,保密,5,大会员,嘉然今天吃什么,029236,嘉然今天吃什么,战神遗迹
5403,2021-07-05 18:05:17,AP北极星上的竹子,保密,6,年度大会员,嘉然今天吃什么,000536,嘉然今天吃什么,战神遗迹
5402,2021-07-05 17:12:56,nkdnwksbej,保密,5,年度大会员,无,000000,无,发生了什么，不是很懂捏
5401,2021-07-05 15:50:24,秦心ヤ,女,6,年度大会员,嘉然今天吃什么,026424,嘉然今天吃什么,游访名胜古迹[嘉然_绷不住了]
5400,2021-07-05 14:50:00,Deculture爹卡路恰,保密,5,大会员,嘉然今天吃什么,036014,嘉然今天吃什么,参观名胜古迹[嘉然_安详]
5399,2021-07-05 14:22:50,口阿_口合,男,5,大会员,嘉然今天吃什么,026814,嘉然今天吃什么,先驱者遗迹[嘉然_一眼真]
5398,2021-07-05 12:04:44,奶盖拌水母,保密,5,年度大会员,嘉然今天吃什么,001092,嘉然今天吃什么,纯路人，为什么这些网暴的人右上角都有个粉色女人的标志啊，是什么组织吗😱😱😱😱
5397,2021-07-05 11:49:40,绮菈绮菈,保密,6,年度大会员,嘉然今天吃什么,038888,嘉然今天吃什么,星之古战场
5396,2021-07-05 10:38:51,-驹沫-,保密,5,年度大会员,嘉然今天吃什么,006464,嘉然今天吃什么,笑死我了
5395,2021-07-05 04:08:22,不列颠的统治者,保密,5,大会员,无,000000,无,古战场可以简单概括为党锢之祸吧
5394,2021-07-05 01:10:01,福州市精神病院王主任,保密,5,年度大会员,无,000000,无,什么锅巴玩意
5392,2021-07-05 00:36:04,贝拉大魔王-,保密,5,大会员,无,000000,无,战神遗迹
5391,2021-07-05 00:02:00,沐云一,女,5,年度大会员,初音未来13周年,021378,初音未来13周年,反转了 都是粉丝
5390,2021-07-04 22:10:22,Bonnenulto,男,5,年度大会员,嘉然今天吃什么,023933,嘉然今天吃什么,回来古战场看一看
5389,2021-07-04 17:26:08,w九筱w,女,5,年度大会员,无,000000,无,评论给我看蒙了？？发生了啥啊？看着感觉跟原来歌姬很像就过来看看，看起来很贵的样子(｀・ω・´)
5388,2021-07-04 17:15:48,llrun-official,保密,5,普通会员,无,000000,无,乐子
5386,2021-07-04 15:20:25,重生之我是顶碗人,保密,6,年度大会员,嘉然今天吃什么,053997,嘉然今天吃什么,战 后 遗 迹
5385,2021-07-04 14:52:27,天予或自取之,保密,4,大会员,嘉然今天吃什么,047901,嘉然今天吃什么,愿圣嘉然可以宽恕我的罪过[嘉然_笔芯]
5384,2021-07-04 14:47:53,Auoton,保密,5,年度大会员,嘉然今天吃什么,037521,嘉然今天吃什么,梦幻新诛仙
5383,2021-07-04 13:08:58,山雨落晨,保密,5,大会员,嘉然今天吃什么,004503,嘉然今天吃什么,战神遗迹
5382,2021-07-04 12:12:28,超级宇宙顶碗人,保密,5,年度大会员,嘉然今天吃什么,038781,嘉然今天吃什么,战神遗迹
5381,2021-07-04 08:31:39,-悸动战士高咲侑-,保密,3,大会员,无,000000,无,这是今年见过的第一个大型啪啪啪啪打脸现场捏[偷笑]\n什么是傲慢与偏见？a手就能给出答案捏[大笑][大笑][大笑]
5380,2021-07-04 04:30:34,枝江上单乃小琳,保密,5,年度大会员,嘉然今天吃什么,038545,嘉然今天吃什么,woc，这里是什么古战场
5379,2021-07-04 02:21:14,不要羡慕-,男,4,年度大会员,嘉然今天吃什么,017067,嘉然今天吃什么,一些当初车嘉然的评论装扮已经换成嘉然的了，不知道是真感化了还是什么[嘉然_锤头丧气]
5378,2021-07-03 18:42:59,嘉然今天甲虾米,保密,5,大会员,嘉然今天吃什么,008885,嘉然今天吃什么,[嘉然_嘉人们][嘉然_绷不住了]
5377,2021-07-03 17:43:14,FeelN1ght,男,5,年度大会员,嘉然今天吃什么,006431,嘉然今天吃什么,考考古[嘉然_吓人][嘉然_吓人][嘉然_吓人]
5376,2021-07-03 15:41:57,超越序列,男,5,普通会员,无,000000,无,呜呜呜，我的嘉然😭😭😭😭
5375,2021-07-03 14:01:04,是福禄丨不是葫芦,保密,6,年度大会员,嘉然今天吃什么,055391,嘉然今天吃什么,新粉看了一整天评论区了\n太有意思了捏[嘉然_一米八]
5374,2021-07-03 12:51:28,侦查骑士烤肉,男,4,普通会员,无,000000,无,我懂了
5373,2021-07-03 11:37:54,嗑s我l,女,5,大会员,无,000000,无,支持国v发展[小A和小B_OK]
5372,2021-07-03 09:44:16,弥音oc,男,5,普通会员,无,000000,无,还没出👮🏻‍♂️，就已经笑嘻了
5371,2021-07-02 19:18:01,乱了鲂寸,保密,4,大会员,无,000000,无,笑yue了
5370,2021-07-02 18:56:17,乃琳mua我一口,男,5,年度大会员,嘉然今天吃什么,005447,嘉然今天吃什么,古战场一日游
5369,2021-07-02 18:42:33,珈乐今晚吃陈_睿,女,5,年度大会员,无,000000,无,战神遗迹
5368,2021-07-02 18:33:20,ismine7,保密,4,年度大会员,嘉然今天吃什么,008036,嘉然今天吃什么,梦幻新诛仙
5367,2021-07-02 13:04:22,Humou-Rs,保密,5,大会员,无,000000,无,＃孫笑川指使蔡徐坤引領水軍攻擊A-soul，未果后風評逆轉＃
5366,2021-07-02 02:37:56,珈然你带我走吧,男,6,大会员,嘉然今天吃什么,019054,嘉然今天吃什么,愿圣嘉然原谅过去的人们犯下的无知的罪过，嘉门🙏[嘉然_笔芯]
5364,2021-07-02 00:10:29,波特兰伐木工Official,保密,5,大会员,无,000000,无,古战场巡礼[给心心][给心心][给心心]
5363,2021-07-01 23:16:56,魔法少女Cocoa,男,5,年度大会员,嘉然今天吃什么,003352,嘉然今天吃什么,战神遗迹
5362,2021-07-01 20:04:44,杰阔给我扛,保密,4,年度大会员,无,000000,无,新来的别发弹幕，懂不懂尊重历史啊！
5361,2021-07-01 19:57:29,幼儿园小班学生,保密,5,普通会员,无,000000,无,别发新弹幕了好吗？保护一下文物啊！
5360,2021-07-01 18:59:40,求上天给我个椎名真昼,保密,5,年度大会员,崩坏3·天穹流星,042531,崩坏3·天穹流星,我被朋友大老远引来吃瓜，这弹幕怎么回事？
5359,2021-07-01 17:28:46,可靠的贝拉里兜nim,保密,5,大会员,无,000000,无,这啥啊，第一次了解这些的新人来报道，有没有大哥解释解释[跪了]
5354,2021-07-01 03:38:51,Cat゜,保密,5,年度大会员,嘉然今天吃什么,003297,嘉然今天吃什么,[嘉然_安详][嘉然_安详]
5353,2021-06-30 21:18:45,这波我在吃你镀层,保密,5,年度大会员,嘉然今天吃什么,046447,嘉然今天吃什么,属实是战神遗迹了
5352,2021-06-30 18:00:07,藕粉桂花甜糕,男,6,年度大会员,嘉然今天吃什么,004291,嘉然今天吃什么,A是大写，v是小写
5351,2021-06-30 15:21:53,朝司繁夏慕临,男,5,年度大会员,嘉然今天吃什么,053672,嘉然今天吃什么,战神遗迹了属于是
5350,2021-06-30 13:22:08,六寸钉,男,5,大会员,鹿乃,012887,鹿乃,"还好我去年只评论了一句""看国v扬国威""😃"
5348,2021-06-30 03:43:00,Synergistic,保密,6,年度大会员,无,000000,无,#战神遗迹
5347,2021-06-29 23:39:40,恶梦的能面女秦心,男,4,大会员,嘉然今天吃什么,040964,嘉然今天吃什么,愿圣嘉然原谅过去的人们犯下的无知的罪过，嘉门🙏
5345,2021-06-29 21:43:41,-时间--,女,6,年度大会员,嘉然今天吃什么,041993,嘉然今天吃什么,纯路人，为什么这些网暴的人右上角都有个粉发矮子的标志啊，是什么组织吗😱😱😱😱
5344,2021-06-29 19:40:01,文和静你回来,保密,6,年度大会员,嘉然今天吃什么,011417,嘉然今天吃什么,战神遗迹
5343,2021-06-29 15:44:32,真兔子假兔子,保密,2,年度大会员,无,000000,无,为什么晚晚站c位呢？不应该是队长吗？[滑稽][滑稽]
5342,2021-06-29 12:25:52,灼一Zoi,保密,5,年度大会员,嘉然今天吃什么,011662,嘉然今天吃什么,战神遗迹
5341,2021-06-29 11:42:29,bincccccc,保密,5,年度大会员,嘉然今天吃什么,001230,嘉然今天吃什么,看一次笑一次  评论区我能笑一辈子
5340,2021-06-29 00:52:12,珈乐今天吃嘉然,男,5,大会员,嘉然今天吃什么,010945,嘉然今天吃什么,√都不看
5339,2021-06-29 00:41:34,妖怪馆,男,5,大会员,嘉然今天吃什么,048487,嘉然今天吃什么,闻讯而来，果真是上古战场
5337,2021-06-28 20:54:58,啊啊啊L-,男,5,大会员,嘉然今天吃什么,025595,嘉然今天吃什么,战神遗迹
5335,2021-06-28 20:37:05,清嫣仲夏陌,男,5,大会员,良辰美景·不问天,004108,良辰美景·不问天,这啥啊，第一次了解这些的新人来报道，有没有大哥解释解释[跪了]
5334,2021-06-28 20:26:33,Maverick_梅芙莉,女,5,大会员,嘉然今天吃什么,016584,嘉然今天吃什么,溜√罕见 uid:1459699014
5332,2021-06-28 09:18:45,cavs__,保密,2,年度大会员,嘉然今天吃什么,012818,嘉然今天吃什么,梦幻新诛仙
5331,2021-06-28 07:27:20,高须竜,保密,5,年度大会员,进击的冰糖,002939,冰糖IO,融入asoul，战无不胜了属于是，当年红现在粉的这帮子真是给他们玩的透透的
5330,2021-06-28 03:09:25,雾间凪z,男,5,大会员,无,000000,无,贝武圣的实力确实干碎yhm
5329,2021-06-27 21:29:34,超平和-busters,男,5,年度大会员,无,000000,无,为什么当初才这么点评论啊，根本不够看啊😭
5328,2021-06-27 21:09:16,我爱吃鸡蛋灌饼,男,6,年度大会员,绯赤艾莉欧,000535,绯赤艾莉欧,战神遗迹
5327,2021-06-27 19:32:29,Sangraal,保密,6,年度大会员,嘉然今天吃什么,012928,嘉然今天吃什么,战神遗迹[嘉然_番茄炒蛋拳]
5326,2021-06-27 16:20:26,布突骰,男,5,年度大会员,嘉然今天吃什么,012303,嘉然今天吃什么,[嘉然_锤头丧气][嘉然_锤头丧气]我早点喜欢上你们就好了
5324,2021-06-27 13:19:15,理塘Kira,保密,5,大会员,嘉然今天吃什么,012379,嘉然今天吃什么,战神遗迹
5323,2021-06-27 13:14:25,阳明先生,保密,5,年度大会员,无,000000,无,这血统这么差（乐华+抖音）居然真的火了，路人粉表示难以置信。
5322,2021-06-27 12:16:16,枝江大学打架部,男,6,年度大会员,嘉然今天吃什么,031881,嘉然今天吃什么,《我在A手修文物》
5321,2021-06-27 11:02:22,二叉番茄树,女,5,大会员,无,000000,无,梦幻新诛仙
5320,2021-06-27 10:11:44,晚晚今天吃什么,保密,5,年度大会员,嘉然今天吃什么,003958,嘉然今天吃什么,每日一乐
5319,2021-06-27 08:36:16,蕾米莉桃,保密,6,年度大会员,嘉然今天吃什么,004671,嘉然今天吃什么,原来网暴的真的是同一批人，有没有史官，救一下啊[嘉然_绷不住了][嘉然_绷不住了][嘉然_绷不住了]
5317,2021-06-27 00:21:42,emmmymm_,男,4,大会员,嘉然今天吃什么,048678,嘉然今天吃什么,愿圣嘉然原谅过去的人们犯下的无知的罪过，嘉门🙏
5316,2021-06-27 00:10:30,复春,保密,5,大会员,无,000000,无,圣地巡游
5315,2021-06-26 23:57:49,凤不是风,保密,5,大会员,无,000000,无,战神遗迹
5314,2021-06-26 22:01:20,人亦惊天地_,男,4,大会员,初音未来13周年,103187,初音未来13周年,战神遗迹
5312,2021-06-26 16:12:49,浮殇so,保密,5,年度大会员,嘉然今天吃什么,032235,嘉然今天吃什么,梦幻新诛仙
5311,2021-06-26 13:00:58,混元大罗金仙-,保密,2,年度大会员,物述有栖,014101,物述有栖,梦幻新诛仙
5310,2021-06-26 12:04:45,鲁姓男子,男,6,年度大会员,嘉然今天吃什么,008651,嘉然今天吃什么,梦幻新诛仙
5309,2021-06-26 11:10:31,清风昕雨official,保密,5,普通会员,嘉然今天吃什么,021476,嘉然今天吃什么,心情不好就来看看评论区[嘉然_绷不住了]
5308,2021-06-26 02:44:35,我不管我要点外卖,保密,6,年度大会员,嘉然今天吃什么,055454,嘉然今天吃什么,圣地巡游。热评斧子哥那条简直笑死。
5307,2021-06-26 00:07:32,六只兲,保密,5,大会员,无,000000,无,不会母语[给心心]
5305,2021-06-25 16:52:48,魔法少女美竹兰,女,5,年度大会员,嘉然今天吃什么,003456,嘉然今天吃什么,兄弟们别给我之前的评论点赞了😭😭😭😭😭😭😭😭😭😭
5304,2021-06-25 15:17:50,富哥们向晚加油努力,女,6,年度大会员,嘉然今天吃什么,009715,嘉然今天吃什么,卡其脱力太
5303,2021-06-25 12:52:06,Nigella33,男,5,年度大会员,嘉然今天吃什么,014234,嘉然今天吃什么,当时的弹幕满满的恶意[嘉然_锤头丧气]
5301,2021-06-25 10:59:24,嘉然今天吃au丶,保密,3,普通会员,无,000000,无,梦幻新诛仙
5300,2021-06-25 01:19:19,哒啦哒啦mcb,男,5,年度大会员,嘉然今天吃什么,018771,嘉然今天吃什么,常读常新，常读常乐
5299,2021-06-25 01:05:25,激奏-polaris,男,4,年度大会员,嘉然今天吃什么,015085,嘉然今天吃什么,原来我去年11月25号评论了啊，捏麻的还有人给我点了第二个赞[嘉然_绷不住了]
5298,2021-06-25 00:14:40,八千彩羽,保密,3,大会员,嘉然今天吃什么,027161,嘉然今天吃什么,组织?[嘉然_嘉速心动]\nA圈![嘉然_番茄炒蛋拳]
5297,2021-06-24 23:09:55,S_trelitzia,保密,5,大会员,无,000000,无,战神遗迹了属于是🤗🤗
5296,2021-06-24 19:02:11,妖怪小奇,男,5,大会员,无,000000,无,关于资本介入，我只想说“世上有一种病，叫穷”
5295,2021-06-24 16:01:41,三叶小哥哥,男,6,大会员,嘉然今天吃什么,005167,嘉然今天吃什么,愿圣嘉然原谅过去的人们犯下的无知的罪过，嘉门🙏
5294,2021-06-24 14:36:36,暮雨独白,保密,5,大会员,嘉然今天吃什么,004236,嘉然今天吃什么,看国v，扬国威！
5293,2021-06-24 14:36:14,青灯古佛伴我身,男,6,年度大会员,嘉然今天吃什么,001497,嘉然今天吃什么,粉头发的是什么组织
5291,2021-06-24 13:28:04,还真就内个起飞,男,5,年度大会员,嘉然今天吃什么,018943,嘉然今天吃什么,远古战场
5290,2021-06-24 13:15:18,小泥人的柿子,保密,5,年度大会员,嘉然今天吃什么,014692,嘉然今天吃什么,[嘉然_嘉速心动][嘉然_番茄炒蛋拳]
5289,2021-06-24 12:49:01,LoatIm,男,6,大会员,无,000000,无,评论区粉丝装扮蚌埠住了
5288,2021-06-24 12:47:46,Erischen-,保密,5,年度大会员,嘉然今天吃什么,016958,嘉然今天吃什么,从一而终[嘉然_笔芯][嘉然_笔芯][嘉然_笔芯][嘉然_笔芯]
5287,2021-06-24 12:26:06,噜卡辣条,男,5,大会员,嘉然今天吃什么,036722,嘉然今天吃什么,[嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳]
5286,2021-06-24 10:12:51,-熙omniscient-,男,6,大会员,嘉然今天吃什么,043558,嘉然今天吃什么,😭我以前怎么还点过踩，一点印象都没有😭😭😭
5285,2021-06-24 10:06:02,纯路人捏,保密,4,普通会员,无,000000,无,l5 you and cant go away
5284,2021-06-24 10:02:57,历战王乃琳,女,5,大会员,嘉然今天吃什么,046330,嘉然今天吃什么,我们的希望来了捏[嘉然_笔芯][嘉然_笔芯]
5283,2021-06-24 09:52:54,fzhqrh,男,5,大会员,无,000000,无,难蚌
5282,2021-06-24 09:49:46,嘉然今后吃什么,保密,4,大会员,嘉然今天吃什么,000811,嘉然今天吃什么,[嘉然_绷不住了]
5281,2021-06-24 06:08:08,海绵宝宝拉姐,保密,3,大会员,嘉然今天吃什么,001805,嘉然今天吃什么,战神遗迹[嘉然_敲打]
5280,2021-06-24 02:53:54,她说要切中肯綮,男,5,年度大会员,嘉然今天吃什么,010381,嘉然今天吃什么,太乐了，之前到处和同学说乐华进场了v圈凉了，没想到现在这么顶[嘉然_笔芯]
5279,2021-06-24 02:46:07,火之蔓族Official,保密,5,年度大会员,嘉然今天吃什么,011009,嘉然今天吃什么,纯路人，为什么这些网暴的人右上角都有个粉发矮子的标志啊，是什么组织吗😱😱😱😱
5278,2021-06-24 01:37:31,丝瓜珈乐,保密,4,普通会员,嘉然今天吃什么,007099,嘉然今天吃什么,[嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳]
5277,2021-06-24 00:35:37,業炎焚心,男,6,年度大会员,嘉然今天吃什么,047454,嘉然今天吃什么,[嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳]
5276,2021-06-24 00:30:10,某小小小小小号,保密,2,普通会员,无,000000,无,这弹幕咋又回去了
5275,2021-06-24 00:03:30,天喃蒽,保密,5,普通会员,嘉然今天吃什么,047658,嘉然今天吃什么,[嘉然_绷不住了][嘉然_绷不住了]
